"country","rmse_pred_train","rmse_pred_test"
"Argentina",3278.08390156643,20349.6405630161
"Australia",2528.537,23330.13
"Canada",1188.261,8333.362
"Colombia",1317.82693626876,5927.62119641183
"Ecuador",420.33848742919,1735.77103581725
"Ethiopia",216.473743391154,420.37084882318
"France",7106.34539365769,100609.582184823
"Germany",4950.433684536,106785.008678537
"India",10817.4596037049,55937.4110056154
"Italy",5189.10027795573,65321.0672891565
"Japan",10168.782922569,119337.547313347
"Mexico",1701.8528244289,13266.4847470421
"Morocco",355.0955,1449.738
"Pakistan",411.684078963203,916.724216487613
"Philippines",1519.059,4625.488
"Russia",3858.25516425477,42075.1611831913
"Saudi Arabia",214.220211734948,867.217222817169
"South Africa",1179.209,3241.057
"South Korea",14232.627388866,102039.37741612
"Sri Lanka",224.863495118474,631.261720368418
"Turkey",4280.22346065024,22903.0649484125
"United Kingdom",8711.16230443813,21613.0105955886
"United States",20443.7910969441,162069.441507074
