"country","rmse_pred_train","rmse_pred_test"
"Argentina",4492.05214306364,9579.75514532487
"Australia",13852.2153870482,1216459.67687824
"Canada",1583.44887370208,745.159025504519
"Colombia",2229.23431806703,3397.37876699405
"Ecuador",409.402382768295,1471.04041044654
"Ethiopia",487.67357537769,111.961412925661
"France",19728.2731693202,86407.6294182632
"Germany",6757.846539083,238106.828909122
"India",29166.4555071763,2755.49907948783
"Italy",7615.94687085355,105646.774127677
"Japan",26454.3442094791,383666.221263692
"Mexico",2883.47220897482,5958.40096521841
"Morocco",1058.54342570074,185.043898470149
"Pakistan",1234.22379874699,37.3337319333566
"Philippines",3558.61554778886,733.963294103144
"Russia",5390.55681808643,19585.7983683868
"Saudi Arabia",325.889037233526,181.754286723266
"South Africa",2589.01442813425,137.194329169604
"South Korea",16681.9497351449,1176261.94882282
"Sri Lanka",479.996856476318,11.4857365765783
"Turkey",6135.47982226445,5.92248451284039
"United Kingdom",10666.0946983409,2712.16980160662
"United States",34655.8261084897,48350.0405314167
