Location,Train RMSE,Test RMSE
Argentina,7266.684875054879,2167.116215088986
Australia,6232.762233401425,18488.474031895694
Canada,1380.491478589355,2660.866856076799
Colombia,3031.012603699701,907.2825809113243
Ecuador,289.1832522922266,458.0254507823761
Ethiopia,386.6046955187725,110.40865094532475
France,23951.38344917244,81362.4782293319
Germany,21662.151525924655,46064.13538735199
India,26956.50868496982,4105.667912169127
Italy,12378.809747276833,9531.362121181288
Japan,21125.695264415765,117455.00095405467
Mexico,2363.1098287942928,1811.7327369582724
Morocco,546.8857784235471,366.38901873560286
Pakistan,421.26258676791696,278.6356273832253
Philippines,2410.129631120607,497.43665217826646
Russia,7152.090652814574,2713.948951170072
Saudi Arabia,349.84601084667355,104.79519697891226
South Africa,1820.7893408448165,314.6258712224527
South Korea,13800.328733322973,47006.94028473891
Sri Lanka,610.7232368251283,268.30432441426086
Turkey,5843.567123242611,11362.32497194764
United Kingdom,15740.88374490852,19842.65677834707
United States,31940.050391225257,126508.87357172553
