"location","rmse_pred_train","rmse_pred_test"
"Argentina",3471.59921683158,5875.1641162895
"Australia",2784.20046270497,8430.9814199721
"Canada",2319.97846080818,3970.68362063927
"Colombia",2312.91614863153,3282.38818919725
"Ecuador",1914.4812853698,3355.13884754123
"Ethiopia",2497.1831318259,3151.66903135921
"France",6954.26494058429,12427.6157158561
"Germany",5504.96108583911,10846.8652508078
"India",7777.37608729021,3368.35993965027
"Italy",3320.6957367485,5789.0395708106
"Japan",6573.6968401925,7107.37514693508
"Mexico",2898.59261475591,3151.11041633446
"Morocco",2476.75496240986,3490.22890640409
"Pakistan",2105.72389751852,3723.17247718829
"Philippines",2723.03189795308,3837.97473060702
"Russia",2734.32757537731,2976.93246506562
"Saudi Arabia",2276.33894193831,3457.88327546447
"South Africa",2314.09913847145,3152.37737317393
"South Korea",3855.13095149599,10332.5367185168
"Sri Lanka",2098.85780094116,3395.06094120445
"Turkey",2590.86726846889,6238.08932395708
"United Kingdom",3676.36528593216,5714.59490325797
"United States",20937.8231553361,7947.57234005975
