"location","rmse_pred_train","rmse_pred_test"
"Argentina",41677.5278532,140116.800015394
"Australia",44677.0084511375,138514.013328332
"Canada",51885.9125897124,141628.281109137
"Colombia",54509.4093597118,143262.915131289
"Ecuador",63008.158693643,144278.248142748
"Ethiopia",67631.0247515298,145339.34191183
"France",67423.530696455,142939.147832184
"Germany",63969.4609505365,143259.21010905
"India",82887.6158489118,147094.015049272
"Italy",69751.1577741529,146168.6830511
"Japan",79832.0176555958,138041.525791273
"Mexico",86543.4134100363,149682.07196088
"Morocco",95699.0049222422,152185.304366416
"Pakistan",99523.4474797133,153159.018047239
"Philippines",101456.032713835,153714.824667251
"Russia",93194.1627231528,150527.409044843
"Saudi Arabia",112532.685294463,156048.051866677
"South Africa",113758.394926279,156988.158878473
"South Korea",114646.741232175,138682.120143512
"Sri Lanka",124982.208242052,159028.962953407
"Turkey",115654.995300418,160007.047960949
"United Kingdom",115815.900531128,159000.879273258
"United States",131954.995401176,147743.66442476
