"location","rmse_pred_train","rmse_pred_test"
"Argentina",12464.5916607877,2801.04006031052
"Australia",12202.2372718428,2921.35282839363
"Canada",10541.8151351227,5604.57873396194
"Colombia",14454.2741083323,4008.59724212686
"Ecuador",13571.8881238222,8103.50362497273
"Ethiopia",14316.8098846694,8531.36302439872
"France",44989.0728250017,23624.0849297646
"Germany",39940.4784666046,22357.4150496623
"India",72255.4237520763,31758.7622040005
"Italy",23020.0057674707,12024.5906107294
"Japan",54302.9093258198,45615.4417363891
"Mexico",12163.4060416266,3887.0676344955
"Morocco",14016.6438045561,7874.23208040507
"Pakistan",14057.8671069019,7612.15050665551
"Philippines",13363.1526114395,5822.40182005735
"Russia",22748.0129085514,7444.117750119
"Saudi Arabia",14113.5093489146,8265.34232300778
"South Africa",15051.8858290673,5594.99501898889
"South Korea",55625.1521490071,13895.0347863262
"Sri Lanka",14395.6825779541,8373.26267511367
"Turkey",13784.8805865969,7948.33553681908
"United Kingdom",25466.5288203542,12226.7246542883
"United States",121999.671091527,70536.6693901398
