"location","rmse_pred_train","rmse_pred_test"
"Argentina",11640.0487950173,1442.36724033508
"Australia",18713.8670229938,3189.57728098637
"Canada",4241.2283195803,589.088741879468
"Colombia",7061.83024119696,665.018891557502
"Ecuador",559.177607487738,121.862805571924
"Ethiopia",636.070625620396,51.008770950348
"France",49385.0435693318,2913.08221262172
"Germany",45641.364775294,5240.74420188945
"India",68769.6003645184,3892.62456135664
"Italy",22890.8720542522,2813.96356389048
"Japan",45391.2005977255,38688.288493659
"Mexico",5306.91230912367,991.324100488292
"Morocco",1655.69408255928,119.242188732706
"Pakistan",1509.10612757688,187.639391640191
"Philippines",4651.58700219937,359.605887062136
"Russia",22710.6694374331,4213.59435976755
"Saudi Arabia",931.449259597384,113.530576897034
"South Africa",5277.36735552354,381.261559553617
"South Korea",65207.1795219958,21742.6957777124
"Sri Lanka",1010.91527285509,46.8730420411653
"Turkey",15681.4491681761,1861.09492594876
"United Kingdom",24285.7006174373,1958.95004142458
"United States",71972.0756903192,17533.5226683235
