"location","rmse_train_pred","rmse_test_pred"
"Argentina",5775.12966601848,5581.45901610035
"Australia",4562.17150147498,3606.08027319917
"Canada",2907.01594576426,5871.47466890361
"Colombia",3114.97794521063,1868.43438983245
"Ecuador",1487.74151209514,2382.69719704534
"Ethiopia",1213.60588770673,1089.39598128415
"France",7810.02433653243,5688.55862039409
"Germany",5236.04835460952,9474.37325317131
"India",9289.45163008063,10453.2931662157
"Italy",10911.7237933425,9269.75035259236
"Japan",15347.7333924145,26827.4460301977
"Mexico",3784.45391351624,2552.36012014386
"Morocco",1488.75748519449,1663.06227895184
"Pakistan",1453.36219465109,1324.27111212327
"Philippines",2798.14605131232,2319.2073302871
"Russia",5826.24995099139,4424.9927209752
"Saudi Arabia",1152.9849549368,1910.34386171758
"South Africa",3073.1419202294,1482.21160285147
"South Korea",11863.4303551177,23799.8419020279
"Sri Lanka",1106.79346330858,1429.80737192835
"Turkey",5344.06012568071,3106.95433518985
"United Kingdom",9667.62410394118,3630.79872928409
"United States",18499.036870061,11252.2023019225
